,Category,Description,Quantity,Type (Consumable / Return),Vendor,Vendor Part #,Vendor/Datasheet Link
Received,Discrete Semi,TRANS NPN 40V 0.6A TO-92,100,Consumable,Digi-Key,2N4401D26ZCT-ND,http://www.digikey.com/product-detail/en/fairchild-semiconductor/2N4401TFR/2N4401D26ZCT-ND/458923
Received,Display,"Quad Alphanumeric Display - Red 0.54"" Digits w/ I2C Backpack",10,Consumable,Adafruit,1911,https://www.adafruit.com/products/1911
Received,Display,"1.3"" OLED Display",5,Consumable,Adafruit,938,https://www.adafruit.com/products/938
Received,Display,5050 RGB Light Strip,5,Consumable,Amazon,B013OQX3JG,https://www.amazon.com/Blue-Wind-Waterproof-Changing-Flexible/dp/B013OQX3JG/ref=sr_1_5?ie=UTF8&qid=1476979229&sr=8-5&keywords=led+light+strip+rgb
Received,Display,SparkFun Serial Enabled 16x2 LCD - White on Black 3.3V,15,Consumable,SparkFun,LCD-09067,https://www.sparkfun.com/products/9067
Received,Electromechanical,"Zero-Peak Signal Buzzer Single Tone 4kHz Piezo 30V (Max) 60dB @ 3V, 10cm",20,Consumable,Digi-Key,445-2525-1-ND,http://www.digikey.com/product-detail/en/tdk-corporation/PS1240P02BT/445-2525-1-ND/935930
Received,Electromechanical,H-Bridge L293D,10,Consumable,Mouser,511-L293D,http://www.mouser.com/ProductDetail/STMicroelectronics/L293D/?qs=sGAEpiMZZMtKB4wrjsn3lQPLAQzMALaB3m9VaEGxVKA%3d
Received,Electromechanical,Power HD Micro Servo HD-1800A,20,Consumable,Pololu,1049,https://www.pololu.com/product/1049
Received,Electromechanical,"120:1 Plastic Gearmotor, 90° Output",6,Consumable,Pololu,1121,https://www.pololu.com/product/1121
Received,Interface IC,Low Power Quad Operational Amplifier,20,Consumable,TI,LM324N,http://www.ti.com/lit/ds/symlink/lm224.pdf
Received,Interface IC,LM 555 Timer,20,Consumable,TI,LM555CN/NOPB,http://www.ti.com/lit/ds/symlink/lm555.pdf
Received,Interface IC,Digital-Latch Hall Effect Sensor,20,Consumable,TI,DRV5013,http://www.ti.com/lit/ds/slis150h/slis150h.pdf
Received,Interface IC,SNx4HC5958-Bit Shift Registers With3-StateOutput Registers,20,Consumable,TI,SN74HC595N,http://www.ti.com/lit/ds/symlink/sn74hc595.pdf
Received,Interface IC,SN754410 Quadruple Half-H Driver,40,Consumable,TI,SN74754410NE,http://www.ti.com/lit/ds/symlink/sn754410.pdf
Received,Interface IC,FTDI Friend + extras - v1.0,10,Consumable,Adafruit,284,https://www.adafruit.com/product/284
Received,Interface IC,"10 Bit Analog to Digital Converter 1, 2 Input 1 SAR 8-PDIP",10,Consumable,Digi-Key,MCP3002-I/P-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP3002-I-P/MCP3002-I-P-ND/319412
Received,Interface IC,Operational Amplifiers - Op Amps DIP-8 Dual Op Amp,100,Consumable,Mouser,512-LM358AN,http://www.mouser.com/ProductDetail/Fairchild-Semiconductor/LM358AN/?qs=%2fha2pyFaduh5FRQlJmYF7AYHBlvb5sC%2fUpkE26N9UCs%3d&utm_source=octopart&utm_medium=aggregator&utm_campaign=512-LM358AN&utm_content=Fairchild%20Semiconductor
